Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.81 20.19 0.4231
2.81 20.3 0.4199
2.81 20.4 0.4169
2.81 20.51 0.4141
2.81 20.62 0.4113
2.81 20.72 0.4087
2.81 20.83 0.4062
2.81 20.94 0.4038
2.81 21.05 0.4015
2.81 21.16 0.3994
2.81 21.27 0.3973
2.81 21.38 0.3954
2.81 21.49 0.3936
2.81 21.61 0.3918
2.81 21.72 0.3902
2.81 21.83 0.3887
2.81 21.95 0.3874
2.81 22.06 0.3861
2.81 22.18 0.3849
2.81 22.29 0.3839
2.81 22.41 0.383
2.81 22.52 0.3821
2.81 22.64 0.3814
2.81 22.76 0.3808
2.81 22.88 0.3803
2.81 23.0 0.3798
2.81 23.12 0.3795
2.81 23.24 0.3792
2.81 23.36 0.379
2.81 23.48 0.3789
2.81 23.61 0.3788
2.81 23.73 0.3787
2.81 23.85 0.3786
2.81 23.98 0.3786
2.81 24.1 0.3785
2.81 24.23 0.3785
2.81 24.36 0.3783
2.81 24.48 0.3781
2.81 24.61 0.3779
2.81 24.74 0.3775
2.81 24.87 0.3771
2.81 25.0 0.3765
2.83 15.08 2.8945
2.83 15.16 3.1038
2.83 15.24 3.2678
2.83 15.32 3.3733
2.83 15.4 3.4139
2.83 15.48 3.3872
2.83 15.56 3.296
2.83 15.64 3.1497
2.83 15.72 2.9585
2.83 15.8 2.738
2.83 15.89 2.4997
2.83 15.97 2.2582
2.83 16.05 2.0212
2.83 16.14 1.7985
2.83 16.22 1.5926
2.83 16.3 1.4084
2.83 16.39 1.2448
2.83 16.48 1.1031
2.83 16.56 0.9806
2.83 16.65 0.8768
2.83 16.74 0.7887
2.83 16.82 0.7151
2.83 16.91 0.6534
2.83 17.0 0.6024
2.83 17.09 0.5599
2.83 17.18 0.5251
2.83 17.27 0.4963
2.83 17.36 0.4727
2.83 17.45 0.4533
2.83 17.54 0.4375
2.83 17.63 0.4245
2.83 17.72 0.414
2.83 17.82 0.4053
2.83 17.91 0.3983
2.83 18.0 0.3926
2.83 18.1 0.388
2.83 18.19 0.3842
2.83 18.29 0.3812
2.83 18.38 0.3788
2.83 18.48 0.3768
2.83 18.57 0.3752
2.83 18.67 0.374
2.83 18.77 0.3729
2.83 18.87 0.3721
2.83 18.97 0.3714
2.83 19.06 0.3709
2.83 19.16 0.3705
2.83 19.26 0.3701
2.83 19.37 0.3698
2.83 19.47 0.3695
2.83 19.57 0.3692
2.83 19.67 0.3689
2.83 19.77 0.3686
2.83 19.88 0.3683
2.83 19.98 0.368
2.83 20.08 0.3677
2.83 20.19 0.3673
2.83 20.3 0.3669
2.83 20.4 0.3664
2.83 20.51 0.3659
2.83 20.62 0.3653
2.83 20.72 0.3647
2.83 20.83 0.364
2.83 20.94 0.3633
2.83 21.05 0.3624
2.83 21.16 0.3616
2.83 21.27 0.3606
2.83 21.38 0.3596
2.83 21.49 0.3586
2.83 21.61 0.3574
2.83 21.72 0.3562
2.83 21.83 0.355
2.83 21.95 0.3536
2.83 22.06 0.3522
2.83 22.18 0.3507
2.83 22.29 0.3491
2.83 22.41 0.3475
2.83 22.52 0.3458
2.83 22.64 0.344
2.83 22.76 0.3422
2.83 22.88 0.3402
2.83 23.0 0.3382
2.83 23.12 0.3361
2.83 23.24 0.334
2.83 23.36 0.3318
2.83 23.48 0.3295
2.83 23.61 0.3271
2.83 23.73 0.3247
2.83 23.85 0.3221
2.83 23.98 0.3195
2.83 24.1 0.3169
2.83 24.23 0.3141
2.83 24.36 0.3113
2.83 24.48 0.3085
2.83 24.61 0.3055
2.83 24.74 0.3025
2.83 24.87 0.2995
2.83 25.0 0.2963
2.85 15.08 4.3056
2.85 15.16 4.2952
2.85 15.24 4.1768
2.85 15.32 3.9651
2.85 15.4 3.6798
2.85 15.48 3.3491
2.85 15.56 2.9949
2.85 15.64 2.6425
2.85 15.72 2.3048
2.85 15.8 1.9964
2.85 15.89 1.72
2.85 15.97 1.4807
2.85 16.05 1.2751
2.85 16.14 1.1031
2.85 16.22 0.9592
2.85 16.3 0.8414
2.85 16.39 0.7446
2.85 16.48 0.6664
2.85 16.56 0.6029
2.85 16.65 0.552
2.85 16.74 0.5108
2.85 16.82 0.4781
2.85 16.91 0.4517
2.85 17.0 0.4308
2.85 17.09 0.414
2.85 17.18 0.4007
2.85 17.27 0.39
2.85 17.36 0.3815
2.85 17.45 0.3747
2.85 17.54 0.3693
2.85 17.63 0.3649
2.85 17.72 0.3615
2.85 17.82 0.3587
2.85 17.91 0.3564
2.85 18.0 0.3546
2.85 18.1 0.3531
2.85 18.19 0.3519
2.85 18.29 0.3509
2.85 18.38 0.35
2.85 18.48 0.3493
2.85 18.57 0.3487
2.85 18.67 0.3481
2.85 18.77 0.3476
2.85 18.87 0.3471
2.85 18.97 0.3467
2.85 19.06 0.3463
2.85 19.16 0.3459
2.85 19.26 0.3454
2.85 19.37 0.345
2.85 19.47 0.3446
2.85 19.57 0.3442
2.85 19.67 0.3438
2.85 19.77 0.3434
2.85 19.88 0.3429
2.85 19.98 0.3425
2.85 20.08 0.3421
2.85 20.19 0.3416
2.85 20.3 0.3412
2.85 20.4 0.3408
2.85 20.51 0.3404
2.85 20.62 0.34
2.85 20.72 0.3396
2.85 20.83 0.3393
2.85 20.94 0.339
2.85 21.05 0.3387
2.85 21.16 0.3384
2.85 21.27 0.3382
2.85 21.38 0.3381
2.85 21.49 0.338
2.85 21.61 0.3379
2.85 21.72 0.3379
2.85 21.83 0.338
2.85 21.95 0.3382
2.85 22.06 0.3384
2.85 22.18 0.3387
2.85 22.29 0.3391
2.85 22.41 0.3396
2.85 22.52 0.3402
2.85 22.64 0.3409
2.85 22.76 0.3416
2.85 22.88 0.3425
2.85 23.0 0.3435
2.85 23.12 0.3446
2.85 23.24 0.3458
2.85 23.36 0.347
2.85 23.48 0.3484
2.85 23.61 0.3499
2.85 23.73 0.3515
2.85 23.85 0.3531
2.85 23.98 0.3548
2.85 24.1 0.3566
2.85 24.23 0.3585
2.85 24.36 0.3604
2.85 24.48 0.3624
2.85 24.61 0.3644
2.85 24.74 0.3664
2.85 24.87 0.3684
2.85 25.0 0.3704
[ 4.54088608  4.64440796  4.61767514  4.4657344   4.20547933  3.86737479
  3.47963925  3.07632455  2.67820055  2.3073125   1.9708502   1.67743821
  1.42476885  1.21333413  1.03711346  0.89342331  0.77609638  0.68197167
  0.60610179  0.54585937  0.4977013   0.45972146  0.42953327  0.40584486
  0.38710444  0.37246837  0.36094881  0.35200595  0.34501926  0.33964687
  0.33550254  0.33237038  0.33001179  0.32828989  0.32705842  0.32622962
  0.32571475  0.32545622  0.32540109  0.32551019  0.32575273  0.32610071
  0.32653702  0.32704033  0.32760198  0.32820459  0.32884462  0.32950706
  0.33019147  0.33088427  0.33158685  0.3322866   0.33298593  0.33367304
  0.33435086  0.33500839  0.33564878  0.33626192  0.33685102  0.33740704
  0.33793314  0.33842152  0.33887528  0.33928804  0.33966281  0.33999482
  0.34028702  0.34053634  0.34074574  0.34091389  0.34104383  0.34113594
  0.3411934   0.34121823  0.34121379  0.34118358  0.34113117  0.34106131
  0.3409778   0.3408863   0.3407909   0.34069774  0.34061117  0.34053739
  0.34048096  0.34044763  0.34044211  0.34046919  0.34053361  0.34063868
  0.34078901  0.34098597  0.34123386  0.34153162  0.34188307  0.34228437
  0.34273858  0.34323886]
2.75 15.08 1.6709
2.75 15.16 1.7725
2.75 15.24 1.8632
2.75 15.32 1.9389
2.75 15.4 1.9977
2.75 15.48 2.0368
2.75 15.56 2.0555
2.75 15.64 2.0531
2.75 15.72 2.0303
2.75 15.8 1.9888
2.75 15.89 1.9305
2.75 15.97 1.8588
2.75 16.05 1.7761
2.75 16.14 1.6864
2.75 16.22 1.5918
2.75 16.3 1.4961
2.75 16.39 1.4006
2.75 16.48 1.3084
2.75 16.56 1.2198
2.75 16.65 1.1369
2.75 16.74 1.0595
2.75 16.82 0.9888
2.75 16.91 0.924
2.75 17.0 0.8657
2.75 17.09 0.8132
2.75 17.18 0.7665
2.75 17.27 0.7247
2.75 17.36 0.688
2.75 17.45 0.6553
2.75 17.54 0.6267
2.75 17.63 0.6014
2.75 17.72 0.5792
2.75 17.82 0.5597
2.75 17.91 0.5425
2.75 18.0 0.5274
2.75 18.1 0.5141
2.75 18.19 0.5023
2.75 18.29 0.4919
2.75 18.38 0.4826
2.75 18.48 0.4743
2.75 18.57 0.467
2.75 18.67 0.4603
2.75 18.77 0.4544
2.75 18.87 0.449
2.75 18.97 0.444
2.75 19.06 0.4395
2.75 19.16 0.4354
2.75 19.26 0.4316
2.75 19.37 0.4281
2.75 19.47 0.4248
2.75 19.57 0.4217
2.75 19.67 0.4188
2.75 19.77 0.4161
2.75 19.88 0.4136
2.75 19.98 0.4112
2.75 20.08 0.4089
2.75 20.19 0.4068
2.75 20.3 0.4047
2.75 20.4 0.4028
2.75 20.51 0.4011
2.75 20.62 0.3994
2.75 20.72 0.3978
2.75 20.83 0.3964
2.75 20.94 0.395
2.75 21.05 0.3938
2.75 21.16 0.3927
2.75 21.27 0.3917
2.75 21.38 0.3908
2.75 21.49 0.3901
2.75 21.61 0.3895
2.75 21.72 0.389
2.75 21.83 0.3886
2.75 21.95 0.3884
2.75 22.06 0.3883
2.75 22.18 0.3883
2.75 22.29 0.3885
2.75 22.41 0.3888
2.75 22.52 0.3892
2.75 22.64 0.3897
2.75 22.76 0.3904
2.75 22.88 0.3912
2.75 23.0 0.392
2.75 23.12 0.393
2.75 23.24 0.3941
2.75 23.36 0.3952
2.75 23.48 0.3964
2.75 23.61 0.3977
2.75 23.73 0.399
2.75 23.85 0.4003
2.75 23.98 0.4016
2.75 24.1 0.4029
2.75 24.23 0.4042
2.75 24.36 0.4054
2.75 24.48 0.4065
2.75 24.61 0.4076
2.75 24.74 0.4085
2.75 24.87 0.4093
2.75 25.0 0.4099
2.77 15.08 4.0342
2.77 15.16 4.2743
2.77 15.24 4.4118
2.77 15.32 4.4324
2.77 15.4 4.3355
2.77 15.48 4.134
2.77 15.56 3.8476
2.77 15.64 3.5063
2.77 15.72 3.1345
2.77 15.8 2.7606
2.77 15.89 2.3997
2.77 15.97 2.0687
2.77 16.05 1.7713
2.77 16.14 1.5136
2.77 16.22 1.2922
2.77 16.3 1.107
2.77 16.39 0.9523
2.77 16.48 0.8258
2.77 16.56 0.722
2.77 16.65 0.6382
2.77 16.74 0.5702
2.77 16.82 0.5157
2.77 16.91 0.4718
2.77 17.0 0.4367
2.77 17.09 0.4085
2.77 17.18 0.386
2.77 17.27 0.368
2.77 17.36 0.3536
2.77 17.45 0.342
2.77 17.54 0.3328
2.77 17.63 0.3253
2.77 17.72 0.3194
2.77 17.82 0.3146
2.77 17.91 0.3107
2.77 18.0 0.3076
2.77 18.1 0.305
2.77 18.19 0.303
2.77 18.29 0.3013
2.77 18.38 0.3
2.77 18.48 0.2989
2.77 18.57 0.298
2.77 18.67 0.2972
2.77 18.77 0.2966
2.77 18.87 0.2961
2.77 18.97 0.2957
2.77 19.06 0.2954
2.77 19.16 0.2951
2.77 19.26 0.2949
2.77 19.37 0.2947
2.77 19.47 0.2946
2.77 19.57 0.2944
2.77 19.67 0.2943
2.77 19.77 0.2942
2.77 19.88 0.2941
2.77 19.98 0.2941
2.77 20.08 0.294
2.77 20.19 0.2939
2.77 20.3 0.2938
2.77 20.4 0.2937
2.77 20.51 0.2936
2.77 20.62 0.2935
2.77 20.72 0.2934
2.77 20.83 0.2932
2.77 20.94 0.2931
2.77 21.05 0.2929
2.77 21.16 0.2928
2.77 21.27 0.2926
2.77 21.38 0.2924
2.77 21.49 0.2923
2.77 21.61 0.2921
2.77 21.72 0.2919
2.77 21.83 0.2917
2.77 21.95 0.2915
2.77 22.06 0.2914
2.77 22.18 0.2912
2.77 22.29 0.2911
2.77 22.41 0.2909
2.77 22.52 0.2908
2.77 22.64 0.2907
2.77 22.76 0.2907
2.77 22.88 0.2907
2.77 23.0 0.2907
2.77 23.12 0.2908
2.77 23.24 0.2909
2.77 23.36 0.291
2.77 23.48 0.2913
2.77 23.61 0.2916
2.77 23.73 0.2919
2.77 23.85 0.2924
2.77 23.98 0.2929
2.77 24.1 0.2935
2.77 24.23 0.2942
2.77 24.36 0.2949
2.77 24.48 0.2958
2.77 24.61 0.2968
2.77 24.74 0.2978
2.77 24.87 0.299
2.77 25.0 0.3002
2.79 15.08 4.1117
2.79 15.16 4.346
2.79 15.24 4.4726
2.79 15.32 4.4781
2.79 15.4 4.3635
2.79 15.48 4.1438
2.79 15.56 3.8405
2.79 15.64 3.4852
2.79 15.72 3.1028
2.79 15.8 2.722
2.79 15.89 2.3575
2.79 15.97 2.0256
2.79 16.05 1.7293
2.79 16.14 1.4739
2.79 16.22 1.2557
2.79 16.3 1.0741
2.79 16.39 0.9232
2.79 16.48 0.8003
2.79 16.56 0.6998
2.79 16.65 0.6192
2.79 16.74 0.554
2.79 16.82 0.5021
2.79 16.91 0.4604
2.79 17.0 0.4273
2.79 17.09 0.4009
2.79 17.18 0.38
2.79 17.27 0.3634
2.79 17.36 0.3502
2.79 17.45 0.3397
2.79 17.54 0.3314
2.79 17.63 0.3248
2.79 17.72 0.3196
2.79 17.82 0.3154
2.79 17.91 0.3121
2.79 18.0 0.3095
2.79 18.1 0.3074
2.79 18.19 0.3057
2.79 18.29 0.3043
2.79 18.38 0.3031
2.79 18.48 0.3022
2.79 18.57 0.3014
2.79 18.67 0.3008
2.79 18.77 0.3002
2.79 18.87 0.2997
2.79 18.97 0.2993
2.79 19.06 0.2988
2.79 19.16 0.2985
2.79 19.26 0.2981
2.79 19.37 0.2977
