#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
39,174490.441939521,404453293551.96387,404453468042.4058,2026853853085.3975
40,182341.9109169177,404453187081.05804,404453369422.96893,2026853319523.2554
41,190556.10458027854,404453079494.6883,404453270050.79285,2026852780371.1418
42,199106.96432935214,404452972433.108,404453171540.0723,2026852243848.9277
43,207973.51553720827,404452865373.8649,404453073347.3805,2026851707338.4263
44,217138.8479936797,404452757852.2042,404452974991.05225,2026851168510.592
45,226589.26243954382,404452650601.82336,404452877191.0858,2026850631042.2336
46,236313.65179108997,404452541675.6004,404452777989.2522,2026850085175.657
47,246302.94659126198,404452433748.60754,404452680051.55414,2026849544316.5645
48,256549.7461760052,404452324264.3788,404452580814.12494,2026848995653.63
49,267047.9669662749,404452213916.5891,404452480964.5561,2026848442663.0962
50,277792.60756202764,404452104752.3912,404452382544.9987,2026847895603.9458
51,288779.53829835786,404451995833.3306,404452284612.8689,2026847349773.2625
52,300005.3377429902,404451886129.10596,404452186134.4437,2026846800007.8533
53,311467.16136594163,404451775564.14856,404452087031.30994,2026846245929.0178
54,323162.6428620489,404451664079.6525,404451987242.2954,2026845687242.0596
55,335089.80761770415,404451553181.4478,404451888271.25543,2026845131493.2075
56,347247.0007390951,404451442724.05457,404451789971.0553,2026844577953.4128
57,359632.8373667655,404451331776.8149,404451691409.6522,2026844021958.8298
58,372246.15322375495,404451220465.2314,404451592711.3846,2026843464138.3955
59,385085.96981774835,404451108669.88916,404451493755.85895,2026842903893.6807
60,398151.46197750274,404450996850.7903,404451395002.25226,2026842343529.9128
61,411441.93462499406,404450883624.99493,404451295066.92957,2026841776116.708
62,424956.80092126987,404450771798.5454,404451196755.3463,2026841215716.1038
63,438695.56510815135,404450658994.107,404451097689.6721,2026840650414.4626
64,452657.80891326483,404450546936.3317,404450999594.1406,2026840088854.6057
65,466843.17766707076,404450434221.9424,404450901065.12006,2026839524004.2312
66,481251.3722904332,404450320886.59314,404450802137.96545,2026838956042.0142
67,495882.139200332,404450207233.9973,404450703116.13654,2026838386489.9658
68,510735.26475324604,404450093288.89764,404450604024.1624,2026837815472.0808
69,525810.5676209043,404449979017.6601,404450504828.2277,2026837242819.8074
70,541107.8951249575,404449863468.9891,404450404576.8842,2026836663765.8772
71,556627.1183284106,404449748040.41547,404450304667.5338,2026836085313.7966
72,572368.1284432407,404449634001.9747,404450206370.1031,2026835513828.1475
73,588330.8337274506,404449518898.9583,404450107229.79205,2026834937007.5454
74,604515.1571684364,404449402576.13086,404450007091.288,2026834354074.0527
75,620921.0341132977,404449288105.5746,404449909026.6087,2026833780422.9248
76,637548.4103530769,404449173294.5569,404449810842.9672,2026833205065.6282
77,654397.2406193321,404449057411.4367,404449711808.6773,2026832624335.6592
78,671467.4871925651,404448942649.43774,404449614116.9249,2026832049224.0122
79,688759.1187167964,404448826321.83374,404449515080.95245,2026831466266.5825
80,706272.1092866652,404448710236.45905,404449416508.56836,2026830884523.0469
81,724006.4376592448,404448594909.5422,404449318915.97986,2026830306580.403
82,741962.0863417701,404448477292.12213,404449219254.2085,2026829717159.264
83,760139.0412650821,404448361021.33,404449121160.3713,2026829134486.538
84,778537.2910159619,404448242466.21106,404449021003.5021,2026828540366.2688
85,797156.8266477904,404448126809.66266,404448923966.4893,2026827960771.7285
86,815997.6410503035,404448009990.63574,404448825988.2768,2026827375351.6106
87,835059.7288004354,404447892320.8485,404448727380.57733,2026826785668.0417
88,854343.0858574556,404447774364.25977,404448628707.34564,2026826194547.2122
89,873847.709354075,404447656923.67737,404448530771.3867,2026825606012.2668
90,893573.5973102967,404447539218.7082,404448432792.3055,2026825016152.389
