Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
2.75 76.52 0.0304
2.75 80.12 0.0259
2.75 84.08 0.0219
2.75 88.04 0.019
2.75 92.4 0.0169
2.75 96.75 0.0155
2.75 101.54 0.0144
2.75 106.32 0.0137
2.75 111.58 0.013
2.75 116.83 0.0124
2.75 122.61 0.0119
2.75 128.39 0.0114
2.75 134.74 0.0109
2.75 141.08 0.0105
2.75 148.06 0.0102
2.75 155.04 0.0099
2.75 162.7 0.0096
2.75 170.37 0.0094
2.75 178.79 0.0092
2.75 187.22 0.0092
2.75 196.47 0.0092
2.75 205.73 0.0093
2.75 215.9 0.0095
2.75 226.08 0.0098
2.75 237.26 0.0101
2.75 248.43 0.0105
2.75 260.72 0.011
2.75 273.0 0.0113
2.75 286.5 0.0116
2.75 300.0 0.0117
3.0 52.47 0.0219
3.0 54.94 0.0184
3.0 57.66 0.0155
3.0 60.38 0.0135
3.0 63.36 0.0123
3.0 66.35 0.0118
3.0 69.63 0.0119
3.0 72.91 0.0124
3.0 76.52 0.0132
3.0 80.12 0.0141
3.0 84.08 0.015
3.0 88.04 0.0156
3.0 92.4 0.0161
3.0 96.75 0.0162
3.0 101.54 0.016
3.0 106.32 0.0155
3.0 111.58 0.0148
3.0 116.83 0.0141
3.0 122.61 0.0133
3.0 128.39 0.0127
3.0 134.74 0.0121
3.0 141.08 0.0117
3.0 148.06 0.0115
3.0 155.04 0.0113
3.0 162.7 0.0114
3.0 170.37 0.0116
3.0 178.79 0.0119
3.0 187.22 0.0124
3.0 196.47 0.013
3.0 205.73 0.0138
3.0 215.9 0.0146
3.0 226.08 0.0156
3.0 237.26 0.0168
3.0 248.43 0.0182
3.0 260.72 0.0201
3.0 273.0 0.0225
3.0 286.5 0.0254
3.0 300.0 0.0283
